,V1
1751,Late Erythrocytes
1752,Plasmacytoid dendritic cells (pDC)
1753,CD14 Monocytes
1754,CD4 Memory T-Cells 
1755,Late Erythroid Precursors
1756,CD14 Monocytes
1757,B-Cell Progenitors
1758,Mature B-Cells
1759,Late Erythrocytes
1760,CD4 Naive and regulatory T-Cells
1761,B-Cell Progenitors
1762,Mature B-Cells
1763,CD4 Memory T-Cells 
1764,CD4 Naive and regulatory T-Cells
1765,CD8 Naive T-cClls
1766,B-Cell Progenitors
1767,Conventional Dendritic Cells (cDC)
1768,CD4 Naive and regulatory T-Cells
1769,CD14 Monocytes
1770,CD16 Monocytes
1771,CD8 Memory T-Cells
1772,CD4 Memory T-Cells 
1773,CD14 Monocytes
1774,CD4 Naive and regulatory T-Cells
1775,B-Cell Progenitors
1776,CD4 Naive and regulatory T-Cells
1777,Late Erythroid Precursors
1778,Monocyte Progenitor Cells
1779,Mature B-Cells
1780,Mature B-Cells
1781,CD14 Monocytes
1782,CD4 Naive and regulatory T-Cells
1783,CD4 Naive and regulatory T-Cells
1784,Early Erythroid Precursors
1785,CD8 Memory T-Cells
1786,CD4 Naive and regulatory T-Cells
1787,Late Erythrocytes
1788,CD4 Naive and regulatory T-Cells
1789,CD4 Naive and regulatory T-Cells
1790,Plasmacytoid dendritic cells (pDC)
1791,B-cells (Plasma cell)
1792,CD8 Naive T-cClls
1793,B-Cell Progenitors
1794,CD4 Naive and regulatory T-Cells
1795,CD4 Naive and regulatory T-Cells
1796,CD4 Naive and regulatory T-Cells
1797,CD4 Naive and regulatory T-Cells
1798,CD4 Naive and regulatory T-Cells
1799,CD14 Monocytes
1800,CD16 Monocytes
1801,NK Cells
1802,Conventional Dendritic Cells (cDC)
1803,CD4 Naive and regulatory T-Cells
1804,CD4 Memory T-Cells 
1805,Early Erythroid Precursors
1806,CD4 Naive and regulatory T-Cells
1807,CD4 Naive and regulatory T-Cells
1808,CD4 Memory T-Cells 
1809,CD4 Naive and regulatory T-Cells
1810,Mature B-Cells
1811,CD4 Memory T-Cells 
1812,NK Cells
1813,CD4 Memory T-Cells 
1814,CD8 Naive T-cClls
1815,CD4 Memory T-Cells 
1816,CD4 Memory T-Cells 
1817,Mature B-Cells
1818,Mature B-Cells
1819,CD8 Memory T-Cells
1820,CD4 Naive and regulatory T-Cells
1821,Mature B-Cells
1822,Mature B-Cells
1823,Mature B-Cells
1824,NK Cells
1825,CD8 Memory T-Cells
1826,Mature B-Cells
1827,CD8 Memory T-Cells
1828,CD4 Naive and regulatory T-Cells
1829,CD4 Naive and regulatory T-Cells
1830,CD8 Memory T-Cells
1831,CD8 Naive T-cClls
1832,Monocyte Progenitor Cells
1833,CD4 Naive and regulatory T-Cells
1834,CD4 Naive and regulatory T-Cells
1835,CD14 Monocytes
1836,CD4 Memory T-Cells 
1837,CD4 Naive and regulatory T-Cells
1838,CD4 Naive and regulatory T-Cells
1839,CD4 Memory T-Cells 
1840,Mature B-Cells
1841,CD4 Memory T-Cells 
1842,CD4 Naive and regulatory T-Cells
1843,CD8 Naive T-cClls
1844,CD4 Memory T-Cells 
1845,Monocyte Progenitor Cells
1846,CD8 Naive T-cClls
1847,CD4 Naive and regulatory T-Cells
1848,CD14 Monocytes
1849,CD4 Naive and regulatory T-Cells
1850,Mature B-Cells
1851,NK Cells
1852,Hematopoietic stem and progenitor cells (HSPC)
1853,Late Erythrocytes
1854,CD4 Memory T-Cells 
1855,Late Erythrocytes
1856,Mature B-Cells
1857,CD14 Monocytes
1858,CD4 Memory T-Cells 
1859,Hematopoietic stem and progenitor cells (HSPC)
1860,CD14 Monocytes
1861,CD4 Naive and regulatory T-Cells
1862,CD4 Memory T-Cells 
1863,Late Erythrocytes
1864,NK Cells
1865,Mature B-Cells
1866,CD4 Naive and regulatory T-Cells
1867,Late Erythrocytes
1868,CD4 Naive and regulatory T-Cells
1869,CD4 Memory T-Cells 
1870,Late Erythroid Precursors
1871,Late Erythrocytes
1872,CD4 Naive and regulatory T-Cells
1873,CD8 Memory T-Cells
1874,CD4 Naive and regulatory T-Cells
1875,B-Cell Progenitors
1876,CD8 Naive T-cClls
1877,Monocyte Progenitor Cells
1878,CD4 Naive and regulatory T-Cells
1879,Late Erythroid Precursors
1880,Early Erythrocytes
1881,Late Erythrocytes
1882,CD4 Naive and regulatory T-Cells
1883,Mature B-Cells
1884,CD14 Monocytes
1885,CD8 Naive T-cClls
1886,CD8 Memory T-Cells
1887,CD4 Memory T-Cells 
1888,CD4 Memory T-Cells 
1889,CD8 Naive T-cClls
1890,CD16 Monocytes
1891,Late Erythrocytes
1892,CD4 Naive and regulatory T-Cells
1893,Late Erythroid Precursors
1894,CD14 Monocytes
1895,CD4 Memory T-Cells 
1896,CD4 Memory T-Cells 
1897,CD8 Memory T-Cells
1898,CD4 Naive and regulatory T-Cells
1899,CD4 Naive and regulatory T-Cells
1900,Late Erythrocytes
1901,CD8 Memory T-Cells
1902,CD4 Naive and regulatory T-Cells
1903,Late Erythroid Precursors
1904,CD16 Monocytes
1905,B-Cell Progenitors
1906,Early Erythrocytes
1907,CD8 Memory T-Cells
1908,CD4 Naive and regulatory T-Cells
1909,Late Erythrocytes
1910,CD4 Naive and regulatory T-Cells
1911,Mature B-Cells
1912,CD4 Naive and regulatory T-Cells
1913,NK Cells
1914,CD8 Memory T-Cells
1915,CD4 Memory T-Cells 
1916,CD4 Memory T-Cells 
1917,CD8 Memory T-Cells
1918,Monocyte Progenitor Cells
1919,CD16 Monocytes
1920,CD4 Naive and regulatory T-Cells
1921,Hematopoietic stem and progenitor cells (HSPC)
1922,CD4 Naive and regulatory T-Cells
1923,CD8 Memory T-Cells
1924,CD8 Naive T-cClls
1925,Conventional Dendritic Cells (cDC)
1926,CD4 Naive and regulatory T-Cells
1928,CD14 Monocytes
1929,CD4 Memory T-Cells 
1930,CD4 Naive and regulatory T-Cells
1931,NK Cells
1932,CD4 Naive and regulatory T-Cells
1933,CD8 Memory T-Cells
1934,CD8 Naive T-cClls
1935,CD4 Naive and regulatory T-Cells
1936,CD4 Memory T-Cells 
1937,CD4 Naive and regulatory T-Cells
1938,CD8 Memory T-Cells
1939,CD14 Monocytes
1940,B-Cell Progenitors
1941,CD4 Memory T-Cells 
1942,CD4 Naive and regulatory T-Cells
1943,CD4 Memory T-Cells 
1944,CD4 Naive and regulatory T-Cells
1945,Late Erythrocytes
1946,Late Erythroid Precursors
1947,CD4 Naive and regulatory T-Cells
1948,CD4 Naive and regulatory T-Cells
1949,CD4 Naive and regulatory T-Cells
1950,NK Cells
1951,CD8 Naive T-cClls
1952,B-Cell Progenitors
1953,CD4 Memory T-Cells 
1954,CD8 Naive T-cClls
1955,CD14 Monocytes
1956,Late Erythrocytes
1957,Mature B-Cells
1958,Mature B-Cells
1959,Monocyte Progenitor Cells
1960,CD16 Monocytes
1961,CD4 Naive and regulatory T-Cells
1962,CD4 Naive and regulatory T-Cells
1963,Late Erythroid Precursors
1964,CD8 Memory T-Cells
1965,CD4 Naive and regulatory T-Cells
1966,CD4 Memory T-Cells 
1967,CD4 Naive and regulatory T-Cells
1968,CD4 Memory T-Cells 
1969,CD4 Naive and regulatory T-Cells
1970,Hematopoietic stem and progenitor cells (HSPC)
1971,CD4 Naive and regulatory T-Cells
1972,CD14 Monocytes
1973,Late Erythroid Precursors
1974,Late Erythroid Precursors
1975,CD8 Memory T-Cells
1976,CD8 Memory T-Cells
1977,CD4 Naive and regulatory T-Cells
1978,CD8 Memory T-Cells
1979,CD4 Naive and regulatory T-Cells
1980,CD4 Naive and regulatory T-Cells
1981,Late Erythrocytes
1982,CD4 Naive and regulatory T-Cells
1983,CD4 Naive and regulatory T-Cells
1984,Hematopoietic stem and progenitor cells (HSPC)
1985,Mature B-Cells
1986,Mature B-Cells
1987,Late Erythroid Precursors
1988,CD8 Memory T-Cells
1989,Conventional Dendritic Cells (cDC)
1990,Early Erythroid Precursors
1991,CD8 Memory T-Cells
1992,CD8 Memory T-Cells
1993,CD4 Naive and regulatory T-Cells
1994,CD4 Naive and regulatory T-Cells
1995,CD4 Naive and regulatory T-Cells
1996,CD4 Memory T-Cells 
1997,CD14 Monocytes
1998,Mature B-Cells
1999,CD4 Memory T-Cells 
2000,Plasmacytoid dendritic cells (pDC)
2001,Mature B-Cells
2002,CD8 Naive T-cClls
2003,CD4 Memory T-Cells 
2004,CD4 Naive and regulatory T-Cells
2005,CD4 Naive and regulatory T-Cells
2006,CD4 Memory T-Cells 
2007,CD4 Naive and regulatory T-Cells
2008,Early Erythrocytes
2009,Early Erythroid Precursors
2010,B-Cell Progenitors
2011,CD8 Memory T-Cells
2012,Mature B-Cells
2014,CD4 Naive and regulatory T-Cells
2015,Late Erythroid Precursors
2016,Mature B-Cells
2017,NK Cells
2018,CD4 Memory T-Cells 
2019,Late Erythroid Precursors
2020,CD8 Naive T-cClls
2021,Late Erythrocytes
2022,B-Cell Progenitors
2023,Late Erythroid Precursors
2024,Hematopoietic stem and progenitor cells (HSPC)
2025,CD8 Naive T-cClls
2026,NK Cells
2027,Monocyte Progenitor Cells
2028,CD8 Memory T-Cells
2029,CD4 Naive and regulatory T-Cells
2030,Monocyte Progenitor Cells
2031,Late Erythrocytes
2032,Hematopoietic stem and progenitor cells (HSPC)
2033,CD8 Naive T-cClls
2034,CD4 Naive and regulatory T-Cells
2035,CD4 Naive and regulatory T-Cells
2036,CD4 Naive and regulatory T-Cells
2037,CD8 Naive T-cClls
2038,CD4 Naive and regulatory T-Cells
2039,Late Erythrocytes
2040,CD14 Monocytes
2041,CD14 Monocytes
2042,NK Cells
2043,CD4 Naive and regulatory T-Cells
2044,CD4 Naive and regulatory T-Cells
2045,CD4 Memory T-Cells 
2046,CD4 Naive and regulatory T-Cells
2047,Late Erythrocytes
2048,CD4 Naive and regulatory T-Cells
2049,CD4 Naive and regulatory T-Cells
2050,Mature B-Cells
2051,CD4 Naive and regulatory T-Cells
2052,CD4 Naive and regulatory T-Cells
2053,CD8 Memory T-Cells
2054,CD4 Naive and regulatory T-Cells
2055,Late Erythroid Precursors
2056,CD4 Naive and regulatory T-Cells
2057,CD14 Monocytes
2058,Mature B-Cells
2059,CD8 Naive T-cClls
2060,CD14 Monocytes
2061,CD8 Memory T-Cells
2062,CD14 Monocytes
2063,CD14 Monocytes
2064,CD4 Memory T-Cells 
2065,CD4 Naive and regulatory T-Cells
2066,Late Erythrocytes
2067,CD8 Memory T-Cells
2068,CD8 Naive T-cClls
2069,Mature B-Cells
2070,CD8 Memory T-Cells
2071,CD14 Monocytes
2072,Late Erythroid Precursors
2073,Conventional Dendritic Cells (cDC)
2074,Late Erythrocytes
2075,NK Cells
2076,CD4 Memory T-Cells 
2077,Conventional Dendritic Cells (cDC)
2078,CD16 Monocytes
2079,Early Erythroid Precursors
2080,CD4 Naive and regulatory T-Cells
2081,CD14 Monocytes
2082,Late Erythrocytes
2083,CD4 Naive and regulatory T-Cells
2084,B-cells (Plasma cell)
2085,CD4 Memory T-Cells 
2086,CD4 Naive and regulatory T-Cells
2087,CD14 Monocytes
2088,Mature B-Cells
2089,CD4 Naive and regulatory T-Cells
2090,CD4 Memory T-Cells 
2091,CD4 Memory T-Cells 
2092,CD8 Memory T-Cells
2093,CD4 Naive and regulatory T-Cells
2094,CD8 Naive T-cClls
2095,CD4 Naive and regulatory T-Cells
2096,Late Erythroid Precursors
2097,CD4 Naive and regulatory T-Cells
2098,Hematopoietic stem and progenitor cells (HSPC)
2099,NK Cells
2100,Monocyte Progenitor Cells
2101,NK Cells
2102,CD4 Naive and regulatory T-Cells
2103,B-Cell Progenitors
2104,CD8 Naive T-cClls
2105,Late Erythrocytes
2106,CD4 Naive and regulatory T-Cells
2107,CD4 Memory T-Cells 
2108,CD4 Naive and regulatory T-Cells
2109,CD4 Naive and regulatory T-Cells
2110,CD4 Naive and regulatory T-Cells
2111,CD4 Naive and regulatory T-Cells
2112,CD8 Memory T-Cells
2113,CD4 Memory T-Cells 
2114,NK Cells
2115,CD4 Naive and regulatory T-Cells
2116,Late Erythrocytes
2117,Late Erythrocytes
2118,Monocyte Progenitor Cells
2119,CD16 Monocytes
2120,CD4 Naive and regulatory T-Cells
2121,CD4 Naive and regulatory T-Cells
2122,CD4 Naive and regulatory T-Cells
2123,CD4 Naive and regulatory T-Cells
2124,Early Erythrocytes
2125,CD4 Naive and regulatory T-Cells
2126,Late Erythrocytes
2127,Hematopoietic stem and progenitor cells (HSPC)
2128,CD4 Memory T-Cells 
2129,Conventional Dendritic Cells (cDC)
2130,CD8 Memory T-Cells
2131,NK Cells
2132,CD4 Naive and regulatory T-Cells
2133,CD8 Memory T-Cells
2134,B-cells (Plasma cell)
2135,NK Cells
2136,CD4 Naive and regulatory T-Cells
2137,CD4 Naive and regulatory T-Cells
2138,Conventional Dendritic Cells (cDC)
2139,CD4 Memory T-Cells 
2140,CD4 Naive and regulatory T-Cells
2141,Mature B-Cells
2142,CD4 Memory T-Cells 
2143,CD16 Monocytes
2144,CD4 Naive and regulatory T-Cells
2145,CD4 Naive and regulatory T-Cells
2146,CD4 Naive and regulatory T-Cells
2147,CD4 Memory T-Cells 
2148,CD4 Memory T-Cells 
2149,Early Erythrocytes
2150,Mature B-Cells
2151,Early Erythroid Precursors
2152,Monocyte Progenitor Cells
2153,Late Erythroid Precursors
2154,CD4 Naive and regulatory T-Cells
2155,CD4 Naive and regulatory T-Cells
2156,Late Erythrocytes
2157,CD4 Naive and regulatory T-Cells
2158,Early Erythrocytes
2159,B-Cell Progenitors
2160,CD4 Naive and regulatory T-Cells
2161,Monocyte Progenitor Cells
2162,Hematopoietic stem and progenitor cells (HSPC)
2163,CD4 Memory T-Cells 
2164,CD4 Naive and regulatory T-Cells
2165,CD8 Naive T-cClls
2166,Conventional Dendritic Cells (cDC)
2167,CD14 Monocytes
2168,CD4 Naive and regulatory T-Cells
2169,Mature B-Cells
2170,CD14 Monocytes
2171,Early Erythrocytes
2172,CD4 Naive and regulatory T-Cells
2173,CD4 Memory T-Cells 
2174,CD14 Monocytes
2175,Early Erythroid Precursors
2176,Early Erythroid Precursors
2177,CD4 Naive and regulatory T-Cells
2178,Late Erythrocytes
2179,CD8 Memory T-Cells
2180,Early Erythroid Precursors
2181,CD8 Naive T-cClls
2182,CD8 Memory T-Cells
2183,CD8 Naive T-cClls
2184,Late Erythrocytes
2185,CD14 Monocytes
2186,Late Erythroid Precursors
2187,NK Cells
2188,CD4 Memory T-Cells 
2189,Mature B-Cells
2190,CD8 Memory T-Cells
2191,Late Erythroid Precursors
2192,CD8 Naive T-cClls
2193,CD8 Memory T-Cells
2194,Mature B-Cells
2195,CD14 Monocytes
2196,Mature B-Cells
2197,CD14 Monocytes
2198,CD4 Naive and regulatory T-Cells
2199,Late Erythrocytes
2200,CD4 Memory T-Cells 
2201,NK Cells
2202,CD4 Naive and regulatory T-Cells
2203,Mature B-Cells
2204,CD8 Naive T-cClls
2205,CD4 Memory T-Cells 
2206,Early Erythroid Precursors
2207,B-cells (Plasma cell)
2208,CD16 Monocytes
2209,Hematopoietic stem and progenitor cells (HSPC)
2210,Late Erythrocytes
2211,CD8 Memory T-Cells
2212,CD4 Naive and regulatory T-Cells
2213,CD14 Monocytes
2214,Late Erythrocytes
2215,Mature B-Cells
2216,Monocyte Progenitor Cells
2217,CD4 Naive and regulatory T-Cells
2218,CD4 Naive and regulatory T-Cells
2219,CD4 Naive and regulatory T-Cells
2220,Conventional Dendritic Cells (cDC)
2221,CD8 Memory T-Cells
2222,CD8 Naive T-cClls
2223,CD4 Memory T-Cells 
2224,CD4 Naive and regulatory T-Cells
2225,CD14 Monocytes
2226,CD4 Naive and regulatory T-Cells
2227,CD4 Naive and regulatory T-Cells
2228,Monocyte Progenitor Cells
2229,Mature B-Cells
2230,CD4 Naive and regulatory T-Cells
2231,Conventional Dendritic Cells (cDC)
2232,CD8 Memory T-Cells
2233,CD4 Naive and regulatory T-Cells
2234,Mature B-Cells
2235,CD4 Naive and regulatory T-Cells
2236,Late Erythrocytes
2237,CD8 Memory T-Cells
2238,CD4 Naive and regulatory T-Cells
2239,Late Erythrocytes
2240,CD14 Monocytes
2241,Late Erythrocytes
2242,CD4 Naive and regulatory T-Cells
2243,CD8 Memory T-Cells
2244,Late Erythrocytes
2245,CD16 Monocytes
2246,Conventional Dendritic Cells (cDC)
2247,CD4 Memory T-Cells 
2248,B-cells (Plasma cell)
2249,Mature B-Cells
2250,CD16 Monocytes
2251,CD4 Naive and regulatory T-Cells
2252,Late Erythrocytes
2253,NK Cells
2254,CD4 Naive and regulatory T-Cells
2255,Mature B-Cells
2256,B-Cell Progenitors
2257,CD4 Naive and regulatory T-Cells
2258,CD8 Naive T-cClls
2259,CD4 Memory T-Cells 
2260,Early Erythroid Precursors
2261,CD4 Memory T-Cells 
2262,CD4 Memory T-Cells 
2263,CD4 Naive and regulatory T-Cells
2264,CD4 Naive and regulatory T-Cells
2265,CD8 Memory T-Cells
2266,CD14 Monocytes
2267,NK Cells
2268,CD4 Naive and regulatory T-Cells
2269,Late Erythrocytes
2270,CD4 Naive and regulatory T-Cells
2271,CD4 Naive and regulatory T-Cells
2272,Late Erythroid Precursors
2273,CD14 Monocytes
2274,CD8 Naive T-cClls
2275,CD4 Memory T-Cells 
2276,CD4 Naive and regulatory T-Cells
2277,CD4 Memory T-Cells 
2278,CD14 Monocytes
2280,CD4 Memory T-Cells 
2281,CD8 Memory T-Cells
2282,CD4 Memory T-Cells 
2283,CD4 Memory T-Cells 
2284,NK Cells
2285,Late Erythroid Precursors
2286,CD8 Naive T-cClls
2287,Hematopoietic stem and progenitor cells (HSPC)
2288,NK Cells
2289,CD4 Naive and regulatory T-Cells
2290,Mature B-Cells
2291,CD4 Naive and regulatory T-Cells
2292,CD4 Naive and regulatory T-Cells
2293,CD8 Memory T-Cells
2294,Monocyte Progenitor Cells
2295,CD14 Monocytes
2296,CD4 Memory T-Cells 
2297,CD4 Naive and regulatory T-Cells
2298,CD4 Memory T-Cells 
2299,Late Erythroid Precursors
2300,CD4 Memory T-Cells 
2301,Early Erythrocytes
2302,Mature B-Cells
2303,Late Erythrocytes
2304,CD14 Monocytes
2305,CD4 Naive and regulatory T-Cells
2306,CD4 Memory T-Cells 
2307,NK Cells
2308,CD4 Naive and regulatory T-Cells
2309,Mature B-Cells
2310,CD8 Memory T-Cells
2311,CD8 Naive T-cClls
2312,CD4 Naive and regulatory T-Cells
2313,CD8 Memory T-Cells
2314,CD4 Naive and regulatory T-Cells
2315,CD4 Naive and regulatory T-Cells
2316,CD4 Memory T-Cells 
2317,CD4 Memory T-Cells 
2318,Late Erythroid Precursors
2319,Early Erythroid Precursors
2320,NK Cells
2321,NK Cells
2322,NK Cells
2323,Early Erythroid Precursors
2324,Late Erythroid Precursors
2325,CD8 Memory T-Cells
2326,CD4 Naive and regulatory T-Cells
2327,CD4 Naive and regulatory T-Cells
2328,CD4 Naive and regulatory T-Cells
2329,CD4 Naive and regulatory T-Cells
2330,Early Erythroid Precursors
2331,Late Erythrocytes
2332,Mature B-Cells
2333,CD14 Monocytes
2334,Early Erythrocytes
2335,CD4 Naive and regulatory T-Cells
2336,Mature B-Cells
2337,Late Erythroid Precursors
2338,Late Erythrocytes
2339,CD4 Naive and regulatory T-Cells
2340,CD4 Naive and regulatory T-Cells
2341,NK Cells
2342,NK Cells
2343,CD4 Naive and regulatory T-Cells
2344,Late Erythrocytes
2345,Hematopoietic stem and progenitor cells (HSPC)
2346,CD4 Memory T-Cells 
2347,Conventional Dendritic Cells (cDC)
2348,CD4 Naive and regulatory T-Cells
2349,Monocyte Progenitor Cells
2350,CD4 Naive and regulatory T-Cells
2351,CD4 Naive and regulatory T-Cells
2352,CD4 Memory T-Cells 
2353,Early Erythroid Precursors
2354,B-Cell Progenitors
2355,CD14 Monocytes
2356,CD4 Naive and regulatory T-Cells
2357,CD4 Memory T-Cells 
2358,CD8 Naive T-cClls
2360,Plasmacytoid dendritic cells (pDC)
2361,CD4 Naive and regulatory T-Cells
2362,CD4 Memory T-Cells 
2363,CD4 Naive and regulatory T-Cells
2364,Late Erythroid Precursors
2365,CD4 Naive and regulatory T-Cells
2366,CD8 Memory T-Cells
2367,Early Erythrocytes
2368,CD4 Naive and regulatory T-Cells
2369,Late Erythroid Precursors
2370,Late Erythroid Precursors
2371,Late Erythroid Precursors
2372,Mature B-Cells
2373,CD4 Naive and regulatory T-Cells
2374,CD8 Naive T-cClls
2375,Early Erythroid Precursors
2376,Mature B-Cells
2377,Early Erythroid Precursors
2378,CD4 Naive and regulatory T-Cells
2379,Monocyte Progenitor Cells
2380,CD4 Naive and regulatory T-Cells
2381,CD4 Naive and regulatory T-Cells
2382,Conventional Dendritic Cells (cDC)
2383,CD14 Monocytes
2384,CD4 Naive and regulatory T-Cells
2385,CD14 Monocytes
2386,Mature B-Cells
2387,Early Erythrocytes
2388,CD4 Naive and regulatory T-Cells
2389,Late Erythrocytes
2390,CD4 Naive and regulatory T-Cells
2391,Late Erythrocytes
2392,CD4 Naive and regulatory T-Cells
2393,CD8 Memory T-Cells
2394,Late Erythroid Precursors
2395,CD14 Monocytes
2396,B-cells (Plasma cell)
2397,Early Erythrocytes
2398,CD8 Naive T-cClls
2399,Late Erythroid Precursors
2400,Early Erythrocytes
2401,CD8 Memory T-Cells
2402,NK Cells
2403,CD4 Naive and regulatory T-Cells
2404,Late Erythrocytes
2405,CD16 Monocytes
2406,Early Erythroid Precursors
2407,Monocyte Progenitor Cells
2408,Plasmacytoid dendritic cells (pDC)
2409,CD14 Monocytes
2410,NK Cells
2411,Late Erythroid Precursors
2412,Late Erythrocytes
2413,CD4 Memory T-Cells 
2414,Monocyte Progenitor Cells
2415,Hematopoietic stem and progenitor cells (HSPC)
2416,Late Erythrocytes
2417,Mature B-Cells
2418,CD4 Naive and regulatory T-Cells
2419,CD8 Memory T-Cells
2420,CD4 Memory T-Cells 
2421,CD4 Naive and regulatory T-Cells
2422,CD8 Memory T-Cells
2423,Early Erythroid Precursors
2424,CD4 Naive and regulatory T-Cells
2425,CD14 Monocytes
2426,Late Erythrocytes
2427,Conventional Dendritic Cells (cDC)
2428,Monocyte Progenitor Cells
2429,CD4 Memory T-Cells 
2430,CD4 Naive and regulatory T-Cells
2431,CD8 Memory T-Cells
2432,CD8 Memory T-Cells
2433,CD8 Memory T-Cells
2434,Late Erythrocytes
2435,CD4 Naive and regulatory T-Cells
2436,NK Cells
2437,CD4 Naive and regulatory T-Cells
2438,Monocyte Progenitor Cells
2439,CD4 Naive and regulatory T-Cells
2440,CD8 Memory T-Cells
2441,Early Erythrocytes
2442,Early Erythroid Precursors
2443,CD4 Naive and regulatory T-Cells
2444,CD4 Naive and regulatory T-Cells
2445,CD4 Naive and regulatory T-Cells
2446,CD4 Naive and regulatory T-Cells
2447,B-Cell Progenitors
2448,CD4 Naive and regulatory T-Cells
2449,CD8 Naive T-cClls
2450,CD4 Memory T-Cells 
2451,CD8 Memory T-Cells
2452,CD4 Memory T-Cells 
2453,CD4 Naive and regulatory T-Cells
2454,CD14 Monocytes
2455,CD8 Naive T-cClls
2456,CD4 Memory T-Cells 
2457,CD4 Memory T-Cells 
2458,CD4 Naive and regulatory T-Cells
2459,Mature B-Cells
2460,Mature B-Cells
2461,CD4 Naive and regulatory T-Cells
2462,NK Cells
2463,Late Erythroid Precursors
2464,CD4 Naive and regulatory T-Cells
2465,Late Erythrocytes
2466,Late Erythrocytes
2467,Late Erythrocytes
2468,Conventional Dendritic Cells (cDC)
2469,CD4 Naive and regulatory T-Cells
2470,CD4 Naive and regulatory T-Cells
2471,CD16 Monocytes
2472,Early Erythroid Precursors
2473,CD14 Monocytes
2474,CD8 Naive T-cClls
2475,CD4 Naive and regulatory T-Cells
2476,CD4 Naive and regulatory T-Cells
2477,CD8 Naive T-cClls
2478,CD16 Monocytes
2479,CD14 Monocytes
2480,CD4 Memory T-Cells 
2481,B-Cell Progenitors
2482,Late Erythroid Precursors
2483,Late Erythroid Precursors
2484,Plasmacytoid dendritic cells (pDC)
2485,CD4 Naive and regulatory T-Cells
2486,Mature B-Cells
2487,CD4 Memory T-Cells 
2488,NK Cells
2489,CD4 Naive and regulatory T-Cells
2490,NK Cells
2491,CD14 Monocytes
2492,Late Erythroid Precursors
2493,Monocyte Progenitor Cells
2494,CD4 Naive and regulatory T-Cells
2495,Mature B-Cells
2496,CD4 Naive and regulatory T-Cells
2497,CD8 Naive T-cClls
2498,Conventional Dendritic Cells (cDC)
2499,CD14 Monocytes
2500,Late Erythrocytes
2501,CD4 Naive and regulatory T-Cells
2502,Late Erythroid Precursors
2503,Late Erythrocytes
2504,CD4 Memory T-Cells 
2505,CD8 Naive T-cClls
2506,CD4 Memory T-Cells 
2507,CD4 Memory T-Cells 
2508,NK Cells
2509,CD4 Memory T-Cells 
2510,CD8 Memory T-Cells
2511,Mature B-Cells
2512,Monocyte Progenitor Cells
2513,CD4 Naive and regulatory T-Cells
2514,NK Cells
2515,CD4 Naive and regulatory T-Cells
2516,CD4 Memory T-Cells 
2517,Late Erythrocytes
2518,CD14 Monocytes
2519,NK Cells
2520,Late Erythrocytes
2521,Conventional Dendritic Cells (cDC)
2522,Monocyte Progenitor Cells
2523,Late Erythrocytes
2524,CD4 Memory T-Cells 
2525,Monocyte Progenitor Cells
2526,Late Erythrocytes
2527,CD4 Naive and regulatory T-Cells
2528,CD4 Naive and regulatory T-Cells
2529,Late Erythrocytes
2530,Early Erythroid Precursors
2531,CD14 Monocytes
2532,CD4 Naive and regulatory T-Cells
2533,CD16 Monocytes
2534,CD4 Naive and regulatory T-Cells
2535,B-cells (Plasma cell)
2536,CD8 Memory T-Cells
2537,Late Erythroid Precursors
2538,Mature B-Cells
2539,Late Erythrocytes
2540,CD4 Naive and regulatory T-Cells
2541,Mature B-Cells
2542,CD14 Monocytes
2543,Late Erythroid Precursors
2544,Early Erythrocytes
2545,CD4 Memory T-Cells 
2546,Mature B-Cells
2547,CD4 Memory T-Cells 
2548,CD4 Naive and regulatory T-Cells
2549,Late Erythroid Precursors
2550,Monocyte Progenitor Cells
2551,Late Erythrocytes
2552,Plasmacytoid dendritic cells (pDC)
2553,CD4 Naive and regulatory T-Cells
2554,CD4 Naive and regulatory T-Cells
2555,CD4 Naive and regulatory T-Cells
2556,CD16 Monocytes
2557,CD4 Naive and regulatory T-Cells
2558,Conventional Dendritic Cells (cDC)
2559,CD4 Naive and regulatory T-Cells
2560,CD8 Naive T-cClls
2561,CD14 Monocytes
2562,Mature B-Cells
2563,CD4 Naive and regulatory T-Cells
2564,Early Erythrocytes
2565,CD8 Memory T-Cells
2566,CD14 Monocytes
2567,CD8 Memory T-Cells
2568,CD4 Naive and regulatory T-Cells
2569,Late Erythrocytes
2570,CD4 Naive and regulatory T-Cells
2571,CD4 Naive and regulatory T-Cells
2572,NK Cells
2573,CD4 Naive and regulatory T-Cells
2574,CD14 Monocytes
2575,CD4 Naive and regulatory T-Cells
2576,CD4 Naive and regulatory T-Cells
2577,CD4 Naive and regulatory T-Cells
2578,Late Erythrocytes
2579,B-Cell Progenitors
2580,CD4 Naive and regulatory T-Cells
2581,CD4 Naive and regulatory T-Cells
2582,CD4 Naive and regulatory T-Cells
2583,CD4 Naive and regulatory T-Cells
2584,Mature B-Cells
2585,CD8 Memory T-Cells
2586,Late Erythrocytes
2587,Early Erythroid Precursors
2588,Early Erythrocytes
2589,CD8 Memory T-Cells
2590,CD14 Monocytes
2591,CD4 Naive and regulatory T-Cells
2592,Early Erythrocytes
2593,Late Erythrocytes
2594,CD4 Naive and regulatory T-Cells
2595,CD4 Naive and regulatory T-Cells
2596,CD8 Memory T-Cells
2597,CD14 Monocytes
2598,CD14 Monocytes
2599,CD4 Naive and regulatory T-Cells
